# Created by Octave 4.2.0, Sun Feb 12 12:20:49 2023 CET <marcos@encina>
# name: X270100d
# type: matrix
# rows: 215
# columns: 2
 200501 116.880405558568
 200502 117.586145161779
 200503 120.644097204133
 200504 122.326516522217
 200505 120.843712137973
 200506 122.242579087295
 200507 122.353536361276
 200508 121.236121570509
 200509 123.19527482146
 200510 122.412204298914
 200511 125.092992175676
 200512 122.184179048912
 200601 122.868147839142
 200602 125.208351794134
 200603 125.293198886975
 200604 125.860312621114
 200605 126.374336320018
 200606 126.153676300285
 200607 124.823250613294
 200608 122.080813919868
 200609 127.255871814334
 200610 125.517493539886
 200611 127.439287839851
 200612 128.13143855323
 200701 127.753701603036
 200702 129.195961234331
 200703 130.907905449434
 200704 126.551796585227
 200705 130.180317062564
 200706 132.002466834335
 200707 129.293767453829
 200708 127.517258518601
 200709 129.840888706238
 200710 128.124288242139
 200711 126.300020266929
 200712 130.232782332745
 200801 131.802475042215
 200802 129.044732104776
 200803 127.1397744733
 200804 126.728961961331
 200805 121.207590299831
 200806 119.568779582522
 200807 121.049474759944
 200808 115.824561613786
 200809 114.220936664699
 200810 117.713545252359
 200811 111.715313916244
 200812 109.539219247163
 200901 106.919590371263
 200902 108.056321897878
 200903 100.72954516768
 200904 102.858098714831
 200905 101.134988698681
 200906 102.593819098458
 200907 102.935970430796
 200908 105.320631667412
 200909 106.79130661299
 200910 106.460739924191
 200911 108.836165633872
 200912 103.010986220745
 201001 105.607609747918
 201002 104.346023173646
 201003 109.994991851672
 201004 105.267027825396
 201005 108.809874520772
 201006 107.203511601312
 201007 104.768001486662
 201008 105.697104093136
 201009 100.959041864338
 201010 104.847763491775
 201011 102.017646770847
 201012 102.278030852154
 201101 105.733257497474
 201102 103.862223108999
 201103 101.608076791617
 201104 101.758010408356
 201105 101.129814644409
 201106 97.86097710656431
 201107 100.624120813018
 201108 103.786998397615
 201109 98.9904213735888
 201110 96.4749550268665
 201111 98.29392909287731
 201112 104.164939271123
 201201 98.8659471827099
 201202 93.43257762759229
 201203 92.97740239843731
 201204 92.5506714726644
 201205 92.6372886998375
 201206 95.6290767234909
 201207 95.900472463811
 201208 93.3056725508598
 201209 91.8216754151554
 201210 91.6318493001834
 201211 87.87320215760811
 201212 89.6155338453557
 201301 87.7599346524009
 201302 89.2395841230659
 201303 86.352348082134
 201304 89.7971428504116
 201305 89.24973380622841
 201306 89.2848783899379
 201307 90.572855439943
 201308 90.25093160095859
 201309 93.1118584355946
 201310 89.96267899974249
 201311 92.6844775542407
 201312 96.636437300677
 201401 94.0816708329552
 201402 96.7173699655572
 201403 96.28985523453809
 201404 96.2486279382621
 201405 97.40304921256219
 201406 95.999326489277
 201407 95.3926968152979
 201408 93.2716315521419
 201409 96.428701020909
 201410 95.8871476746624
 201411 96.54870539268499
 201412 93.69504292624821
 201501 93.2963388608391
 201502 96.995901522419
 201503 101.341795927823
 201504 98.1465379200402
 201505 100.089931697417
 201506 101.34670708096
 201507 100.721306265959
 201508 104.469403775775
 201509 100.121752730964
 201510 99.5611002670326
 201511 102.977316882263
 201512 100.931907068509
 201601 103.09558240794
 201602 102.381331005632
 201603 103.372030448318
 201604 104.229341052522
 201605 101.487280217752
 201606 103.216095088564
 201607 101.502681426053
 201608 103.61757710931
 201609 103.263406296956
 201610 103.81978506803
 201611 104.62863189727
 201612 103.836361834256
 201701 105.175102394398
 201702 102.66604193871
 201703 106.059913656846
 201704 104.779092315902
 201705 107.26905795229
 201706 106.306652869373
 201707 105.814982764292
 201708 107.295968832323
 201709 106.055999128924
 201710 108.432789325482
 201711 106.171122836097
 201712 107.849211782638
 201801 108.695621486178
 201802 109.455477738562
 201803 108.228672084757
 201804 108.093328981186
 201805 108.168892565135
 201806 108.406964037207
 201807 110.409549955093
 201808 105.115942641709
 201809 107.651703056749
 201810 110.418361641416
 201811 106.560857274578
 201812 109.483189317488
 201901 111.766411700676
 201902 111.294939000263
 201903 112.892461244302
 201904 110.1131474187
 201905 112.460984503216
 201906 109.494531052374
 201907 108.059254794948
 201908 111.487008771498
 201909 107.535952585273
 201910 109.339962178746
 201911 104.904976976367
 201912 106.600513361715
 202001 105.79178548774
 202002 106.206163658826
 202003 99.01236472168659
 202004 73.67944378904581
 202005 78.78226744754539
 202006 86.3930523750879
 202007 91.892218187205
 202008 95.59169458122619
 202009 98.7548702537259
 202010 99.1309157400032
 202011 100.52598671682
 202012 96.1721013164681
 202101 93.9768428540233
 202102 98.67086594395261
 202103 106.399442975205
 202104 101.537892184877
 202105 101.327336365411
 202106 102.518561399479
 202107 103.602596742749
 202108 103.976750040593
 202109 105.925201316073
 202110 103.60880540795
 202111 111.747433837393
 202112 110.36136007713
 202201 114.149923369592
 202202 109.055645097559
 202203 105.060981310184
 202204 113.182836047454
 202205 113.619185955962
 202206 110.795278899859
 202207 110.454852918695
 202208 112.308817726268
 202209 113.464561103385
 202210 114.149010712801
 202211 95.0637363224812


